Title,Location,State,City,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
180,Randall Musuem,CA,San Francisco,37.739795,-122.425578,1,street_center,,Randall St,San Francisco,CA,San Francisco County,94131
180,555 Market St.,CA,San Francisco,37.7898899,-122.3999304,1,rooftop,555,Market St,San Francisco,CA,San Francisco County,94105
180,Mason & California Streets (Nob Hill),CA,San Francisco,37.791835,-122.410818,1,intersection,,California St,San Francisco,CA,San Francisco County,94108
180,Justin Herman Plaza,CA,San Francisco,37.732743,-122.421741,1,street_center,,Justin Dr,San Francisco,CA,San Francisco County,94112
180,200 block Market Street,CA,San Francisco,37.795219,-122.420782,0.33,place,,,San Francisco,CA,San Francisco County,94109
180,Epic Roasthouse (399 Embarcadero),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
180,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
180,Polk & Larkin Streets,CA,San Francisco,37.787279,-122.42002,1,street_center,,Polk St,San Francisco,CA,San Francisco County,94109
24 Hours on Craigslist,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
48 Hours,,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
50 First Dates,Rainforest Café (145 Jefferson Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
About a Boy,Crissy Field,CA,San Francisco,37.802934,-122.467274,1,street_center,,Crissy Field Ave,San Francisco,CA,San Francisco County,94129
About a Boy,Powell from Bush and Sutter,CA,San Francisco,37.789225,-122.408595,1,intersection,,Powell St,San Francisco,CA,San Francisco County,94108
About a Boy,Broderick from Fulton to McAlister,CA,San Francisco,37.787856,-122.44211,1,street_center,,Broderick St,San Francisco,CA,San Francisco County,94115
After the Thin Man,Coit Tower,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
A Jitney Elopement,20th and Folsom Streets,CA,San Francisco,37.758896,-122.41469,1,intersection,,20th St,San Francisco,CA,San Francisco County,94110
A Jitney Elopement,Golden Gate Park,CA,San Francisco,37.779564,-122.431952,1,street_center,,Golden Gate Ave,San Francisco,CA,San Francisco County,94115
Alcatraz,Filbert St. from Jones to Mason,CA,San Francisco,37.800547,-122.415943,1,street_center,,Filbert St,San Francisco,CA,San Francisco County,94133
Alcatraz,Leavenworth from Filbert & Francisco St,CA,San Francisco,37.804143,-122.417763,0.87,intersection,,Francisco St,San Francisco,CA,San Francisco County,94133
